142,Birmingham City Jail Reroofing,The objective of this project includes the replacement of roofing at jail and academy.,Public Facilities,Construction,0.6,912928
143,Birmingham Civil Rights Institute Exterior Renovations,"The objective of this project includes  extensive repairs and rebuild exterior skin of building (including walls, windows, roofs, plaza waterproofing, and interior repairs) to mitigate years of water infiltration.",Public Facilities,Complete,1,1987718.9
144,Birmingham DYS Office Flooring Replacement,The objective of this project includes the replacement of carpeting within the DYS offices.,Public Facilities,Construction,0,"  $17,800 "
145,Birmingham Employee Credit Union Renovations,The objective of this project includes the proposed office renovations to incorporate former Police credit union space.,Public Facilities,Predesign,0,TBD
146,Birmingham Museum of Art Backup Hot Water Boiler Replacement,The objective of this project includes the replacement of inoperable boiler.,Public Facilities,Construction,0.9,81500
147,Birmingham Museum of Art Plaza Roof Repair,The objective of this project is to provide roof repairs to the BMA Plaza roof.,Public Facilities,Bid & Award,0.5,43500
148,Birmingham Zoo,"The objective of this project includes a new visitors center, restroom building, tickets and plaza",Public Facilities,Construction,0.95,8277923
149,Border Street Drainage Improvements,The objective of this project is to improve the earthen ditch running behind the houses along 24th Street Ensley (form 2944 to 2930) into a concrete channel. ,Storm Sewer/Drainage/Bridges,ROW,0.9,108000
150,Botanical Gardens Building Envelope Remediation,"The objective of this project is to patch and replace stucco exterior, and to provide new HVAC system in upper floor plant lab areas.HVAC work underway.",Parks,Closeout,0.95,300767
151,Botanical Gardens Trail Repairs,The objective of this project is to repave various sections of trails at the Birmingham Botanical Gardens,Street/Sidewalk Improvements,Design,1," Need Funding - $36,400 "
152,Boutwell Auditorium Dressing Room and Flooring Replacement ,The objective of this project includes the replacement of worn vinyl flooring in green room and dressing room areas on first level.  Procurement was handled by Purchasing.,Public Facilities,Complete,1,TBD
153,Bridge Maintenance Tree Cutting,The objective of this project includes tree and shrub removal along bridge row,Storm Sewer/Drainage/Bridges,complete,1,187183.7
154,Calico Cir @ Five Mile Rd Drainage Improvements,The objective of this project is to perform drainage improvements at western intersection of Calico Cir and Five Mile Rd,Storm Sewer/Drainage/Bridges,Design,0.3,TBD
155,Calico winewood culvert phase II,The objective of this project includes a drainage ditch conversion into an underground culvert off Winewood Road,Storm Sewer/Drainage/Bridges,Complete,1,634641.3
156,Candle Lane Drainage Improvements,The objective of this design is to correct a drainage problem between Smithfield and Huntingdon subdivisions. The project will add a drainage ditch to catch the water around the existing yard inlets.,Storm Sewer/Drainage/Bridges,Construction,0.95,104000
157,Carver Avenue Street Improvements,"The objective of this project is to design and construct street improvements for Carver Avenue from Wilson Road to 33rd Street. The project will include curb ramp installation, concrete sidewalk installation, curb and gutter installation, storm sewer installation, paving, retaining wall and guardrail installation and traffic striping.",Street/Sidewalk Improvements,ROW,0.15,700000
158,Carver Theatre Renovations,"The objective of this project includes -first phase interior demolition; second phase complete refurbishment of interior spaces, including new dressing rooms, balcony, offices, museum spaces, and associated mechanical, electrical, and plumbing work.",Public Facilities,Bid & Award,0.75,4500000
159,Center Street Streetscape Phase I ,"The objective of this design is to improve the aesthetics and pedestrian accessibility of Center Street from Graymount Avenue to Center Place. This includes the resurfacing of Center Street along with new sidewalks, street lights, sidewalk ramps, and landscaping. ",Street/Sidewalk Improvements,Bid & Award,0,800000
160,Central Library Monumental Stair,The objective of this project includes the replacement of existing inoperable escalators with new fixed monumental stair. Initial project bid was over budget. Revised design to be rebid.,Public Facilities,Design,0.7,1400000
161,Central Library VOIP System,The objective of this project includes the installation of new telephone wiring system for Main and Linn Henley library.,Public Facilities,Design,0.9,"Need Funding - $40,000.00"
162,Central Park Baseball Infield Renovation,The objective of this project includes the repair of worn infield surface.,Parks,Bid & Award,0.75,12000
163,Central Park Recreation Center HVAC Piping Repair,The objective of this project includes the repair of leaking ground source heat pump piping.,Parks,Complete,1,7800
164,Church Street Bridge,The objective of this project is to improve the existing drainage under the Church Street Bridge. The plan is to replace the current bridge with a drivable culvert and improve the drainage underneath.,Storm Sewer/Drainage/Bridges,Construction,0.15,140000
165,City Hall 3rd Floor Renovations,"The objective of this project includes the proposed renovations to break room, OPI offices, other.",Public Facilities,Predesign,0,TBD
166,City Hall Elevator Cab Maintenance Access,The objective of this project includes the creation of cab maintenance access area in the floor of the elevator penthouse to be able to access top of elevator cab.,Public Facilities,Bid & Award,1,10850
167,City Hall Elevator Flooring Replacement,The objective of this project includes the replacement of carpet with vinyl plank flooring.,Public Facilities,Complete,1,4000
168,City Hall General Accounting Renovation,The objective of this project includes the general renovation of office spaces and creation of additional private office areas.,Public Facilities,Predesign,0,TBD
169,City Hall Internal Audit Flooring Replacement,The objective of this project includes the replacement of existing carpet with new carpet.,Public Facilities,Bid & Award,0,10000
170,City Hall Mayor’s Office Restroom,The objective of this project includes the renovation of restroom interior finishes.,Public Facilities,Design,0,TBD
171,City Hall Mayor's Suite Flooring Replacement,The objective of this project includes the replacement  of carpeting.,Public Facilities,Complete,1,22000
172,City Hall South Parking Deck Structural Repairs,The objective of this project includes the investigation of spalling concrete from underside of concrete slab.,Public Facilities,Design,0,TBD
173,City Hall South Parking Deck Waterproofing,"The objective of this project includes the alterations to the exterior, ground level portion of the 19th street side of the deck to eliminate water seepage into the basement level of E-911.",Public Facilities,Construction,0,37000
174,City Hall Space Allocation Study,The objective of this project includes the study of existing building space allocation for various departments and recommendations on best use of space.,Public Facilities,Complete,1,60000
175,City Jail Evacuation Area Fencing,"The objective of this project is to establish new and upgraded existing fenced area(s) for the purpose of prisoner containment when the Jail has to be evacuated. Since Project''s inception, the scope of work has been modified to develop parts of this enclosed area as recreation yard by both impates and the Police Academy. Included in the scope is also the additon of electric sliding gates to enlarge the access/parking area for the Booking Area. ",Public Facilities,Predesign,0,TBD
176,City Jail J1C Cellblock Renovation,"The objective of this project includes the renovations including painting, doors, locks, flooring.",Public Facilities,Design,0,TBD
177,City Jail Millwork Replacement,The objective of this project includes the proposed replacement of control area cabinetry. This work will also incorporate the proposed flooring replacement.,Public Facilities,Predesign,0,TBD
178,City Jail Mold Removal,The objective of this project includes the investigation of reports of mold in shower areas.,Public Facilities,Predesign,0,TBD
179,City Wide Pavement Patching contract I (2016),The objective of this project is to provide city wide on call contract for street repairs,Street/Sidewalk Improvements,Complete,1,
180,City Wide Pavement Patching contract II (2017),The objective of this project is to provide city wide on call contract for street repairs,Street/Sidewalk Improvements,Closeout,1,498200
181,City Wide Pavement Patching Contract III (2019),The objective of this project is to provide city wide on call contract for street repairs,Street/Sidewalk Improvements,Award,,750000
182,Citywide Bridge/Culvert Replacement - Group 1,The objective of this project includes the removal and replacement of bridge culverts at following locations: (a) 2nd Av N & 6th St ; (b) Aspen Ave @ Wiggins Park - creek and (c)  Lawson Road  at Wedgewood Dr.,Storm Sewer/Drainage/Bridges,Design,15%,240000
183,Citywide Minor Bridge Repairs - Group 1,"The objective of this project includes the repairs of deck components; removal and replacement of guard rails, etc. of bridges at following locations: 
(a) Avenue W Ensley & Village Crk at Public Works, (b) 10th Av Wylam & 10th Court N - RR, 
(c) Brighton Rd - Cleburn Ave over Valley Creek
",Storm Sewer/Drainage/Bridges,Design,15%,200000
184,Citywide Minor Bridge Repairs - Group 2,"The objective of this project includes the repairs of deck components; removal and replacement of guard rails, etc. of bridges at following locations: 
(a) Coalburg Rd & Fivel Mile Crk, (b) Lawson Road & Five Mile Creek; (c) 21st Street N & Village Creek
",Storm Sewer/Drainage/Bridges,Design,15%,250000
213,Equipment Management Blacksmith Shop Roof,The objective of this project includes the request for new roof due to leaks.,Public Facilities,Predesign,0,TBD
214,Equipment Management Fuel Dispenser Replacement,The objective of this project includes a new gasoline and diesel fuel dispensers at 4 City vehicle refueling sites.,Public Facilities,Complete,1,170500
215,Equipment Management Office Renovations,"The objective of this project includes the replace flooring, ceiling and interior wall surfaces in the office spaces.",Public Facilities,Design,1,"Need Funding - $33,000"
185,Civil Rights District Streetscape (15th to 18th Street),"The objective of this design is to improve the aesthetics of the 4th Ave. N. business district. The project will include a new plaza along 16th Street in from of the Civil Rights Institute and National Park Office, and refreshed streetscaping around Kelly Ingram Park and the AG Gaston Hotel. Features include a uniquely designed children''s play area, interactive fountains, revitalized pocket parks at the corner of 4th Ave. and 17th , and 4th Ave. and 18th Street; an art wall, and monumental gateway columns to identify the district. General streetscape improvements include sidewalks, brick pavers, street trees, ornamental planters, banners, streetscape furnishings, interpretive signage and wayfinding elements.",Street/Sidewalk Improvements,Predesign,0,TBD
186,Clairmont Sidewalk,The objective of this project includes sidewalk repair at 3920 Clairmont Ave,Street/Sidewalk Improvements,Complete,1,3245
187,Clairmont Walking Trail - Phase II,"The objective of this project includes ADA accessibility, sidewalks, and signage that will be an extension of the existing Clairmount Walking Trail; placed within the median of Clairmount Ave from 50th Pl S to the end of median near 13th Ave. S and par of the Red Rock Trail System.",Street/Sidewalk Improvements,Construction,0.9,342100
188,Community Safe Room Howze Sanford Park,The objective of this project includes the construction of a Saferoom building.,Parks,Design,1,"Needs Funding - $105,043"
189,Community Safe Rooms-South Hampton Elementary School,The objective of this project includes the construction saferoom,Public Facilities,Closeout,0.97,1876964
190,Conroy Alley,The objective of this project is to provide drainage and concrete pavement improvements in alley,Storm Sewer/Drainage/Bridges,Complete,1,12019.92
191,Cooper Green Park Renovations,"The objective of this project is to provide access to maintenance building, field windscreens, PA system, phone system, bleacher shade structures, flagpole, tables and trash cans.",Parks,Complete,1,304656.55
192,Cotton Ave Drainage Imp,"The objective of this project is to provide drainage infrastructure, accessible sidewalks and re-paving along the 1000 to 1200 block SW of Cotton Avenue.",Storm Sewer/Drainage/Bridges,Construction,0.85,574245.65
193,Creekwood Lane Drainage,The objective of this project is to provide drainage improvements along ditch line at Creek wood Lane,Storm Sewer/Drainage/Bridges,Closeout,1,113579
194,Crestwood Blvd Apple Study," The objective of this project is to determine the feasibility and cost required to install complete street features, bike lanes, multimodal paths, improved pedestrian and ADA access to Crestwood Blvd from 5th Ave S to Oporto Madrid Blvd.",Street/Sidewalk Improvements,Consultant select.,0,60000
195,Crossplex Entry Door Security System Repair,The objective of this project includes the  repair of security system. Coordination to be done by DPW.,Public Facilities,Bid & Award,0,TBD
196,Crossplex Infrastructure Improvements,"The objective of this project is to provide a new access road, lighting, drainage infrastructure and utilities for the propose commercial development of the remainder of the Crossplex property.",Street/Sidewalk Improvements,complete,1,4500000
197,Crossplex Shot Put Throw Fencing Installation,The objective of this project includes the installation of temporary fencing panels inside of Crossplex.,Public Facilities,Construction,0.5,TBD
198,Daniel Payne Industrial Park - 31 Acre Site Clearing,Clearing of trees and brush on a 31 acre site in Daniel Payne Industrial Park (project request via Community Development; Economic Development Site),,Award,20%,183393.97
199,Demolition and Reconstruction of the E911 and EOC On-Call Area,"The objective of this project includes the demolition and re-construction of approximately 2,000 sq. ft. of area to new Sleep rooms, storage, classroom and work room including Architectural, Plumbing, Mechanical, Sprinkler, Electrical including Fire Alarm systems. ",Public Facilities,Complete,1,773850
200,Dolomite Park Pavilion Repair,The objective of this project includes the repair or replacement of partially burned pavilion.,Parks,Predesign,0,TBD
201,Downey Park Pavilion Replacement,The objective of this project is to provide repair or replacement of partially burned pavilion.,Parks,Closeout,0.97,69000
202,DYS HVAC Retrofit,The objective of this project includes the replacement of obsolete HVAC units.,Public Facilities,Complete,1,49995
203,E911 Call Center Expansion,"The objective of this project includes the complete demolition of all MEP systems in an existing Mechanical Room and renovation of this room for additional Dispatchers.  Includes Architectural, Mechanical, Plumbing, Sprinkler, Electrical and Fire Alarm systems.  Also includes rebuilding the '"cap'" of an existing vertical shaft along the 20th St. side of the facility.",Public Facilities,Construction,0.65,888600
204,East Lake Park ADECA Grant Project,The objective of this project is the installation of new bleachers and the repair of the football press box.,Parks,Construction,0,300000
205,East Lake Park Renovations - Pressbox & Bleachers,The objective of this project is the installation of new bleachers and the repair of the football press box.,Parks,Construction,0.95,270000
206,East Pinson Valley Park ADA Upgrades,The objective of this project is to correct remaining barriers to access per Senator Coleman-Madison’s report.,Parks,Predesign,0,TBD
207,East Precinct 2nd Floor Renovation,"The objective of this project includes renovations (Architectural, Plumbing, Mechanical, Fire Alarm and Sprinkler Systems) of approximately 5,000 sq. ft. of the second floor of this precinct.  Involves the entire second floor including additions to existing large storage area and modifications to existing working areas.",Public Facilities,Construction,0.72,495500
208,Edwards Street Bridge Deck replacement,The objective of this project is to provide replacement wooden deck of small bridge on Edwards St (Dolomite),Storm Sewer/Drainage/Bridges,Complete,1,
209,Elder Street Sidewalk,The objective of this project is to provide a sidewalk & walking trail to connect Montevallo Road with Scenic View.,Street/Sidewalk Improvements,Construction,0,700000
210,Elevator Upgrades at Various City-Owned Facilities,"The objective of the project includes the combined project of Art Museum, Boutwell Auditorium, and Southern Museum of Flight to conduct repairs of elevator components. ",Public Facilities,Bid & Award,0.75,490000
211,Ensley Ave Street Improvements,"The objective of this project includes pedestrian safety and accessibility, landscaping, and additional bus shelters on Ensley Avenue from 20th Street to Warrior Road.",Street/Sidewalk Improvements,Construction,0.82,2618658.8
212,Ensley Branch Library HVAC Unit Replacement,The objective of this project includes DPW coordinating replacement of inoperable HVAC unit.,Public Facilities,Complete,1,54270
216,Equipment Management Trench Replacement,The objective of this project includes the replacement of the center trench and drain covers that run down the middle of the City Garage.,Public Facilities,Design,0.9,Need Funding -  TBD 
217,Farmer's Market Entrance Drive,"The objective of this project includes the realignment of 3rd Place West between Finely Blvd and Finely Ave, to provide an improved entrance to the Farmers market.",Street/Sidewalk Improvements,Survey,0.3,TBD
218,Finley Blvd Drainage Repair,The objective of this project includes storm sewer pipe repair at 1617 Finley Blvd.,Storm Sewer/Drainage/Bridges,Complete,1,13475
219,Finley Blvd Extension,"The objective of this project includes extends Finely BLVD from 26th Street to 27th Ave North including a bridge over the Railroad tracks.  Providing an east west corridor connecting Hwy 79 (Tallapoosa Street), Hwy 31, I-65 and Hwy 78 (Arkadelphia Rd).",Storm Sewer/Drainage/Bridges,DESIGN/ROW,0.5,TBD
220,Fire Station 24 Reroofing,"The objective of this project includes the replacement of shingle roofing, deteriorated deck replacement and associated reconstruction of the building overhangs and gutter systems. Painting all wood components is required. Project did not receive any bids. Since then, negotiated proposals have been received. Awaiting funding source, Council approval and P.O.",Public Facilities,Bid & Award,0.75,Need Funding - TBD 
221,Fire Station 26 Driveway Replacement,The objective of this project includes the replacement of cracked concrete apparatus drive.,Public Facilities,Bid & Award,0.25,TBD
222,Fire Station 6 HVAC Replacement,The objective of this project includes the replacement of the HVAC equipment. The equipment will be replaced by the Public Works Department.,Public Facilities,Complete,1,38875
223,Fire Station 7 Accessible Parking,The objective of this project includes an accessible parking space and public parking space in front of Fire Station #7.,Public Facilities,Complete,1,21509.27
224,Fire Station 8," The objective of this project includes a new Fire station Kingston neighborhood -project is complete, although the completed survey is required to be recorded to close out the project. ",Public Facilities,Complete,1,2967000
225,Fire Training Tower Replacement,The objective of this project includes a new 4 story training tower and burn building behind Fire Station # 20,Public Facilities,Complete,1,1029753
226,Firing Range Admin and Classroom Bldg-REBID,"The objective of this project includes an addition of a 5,500 sq. ft. pre-engineered metal building with associated interior finish out (Architectural, Mechanical, Plumbing, Electrical and Fire Alarm systems) with associated site work for parking and new electrical and sewer site systems.",Public Facilities,Construction,0.8,1040100
227,Floor Tile Removal at Fire Equipment Repair Shop Breakroom,The objective of this project is to include the removal of suspected asbestos floor tile.,Public Facilities,Bid & Award,0,TBD
228,Flooring Replacement or Refinish Package,"The objective of this project includes the willow wood gym floor cabinets tennis court playground - Harrison gym floor kitchen cabinets, paint VCT floors - Henry Crumpton Kitchen cabinets - Howze Samford new gym floor - Roosevelt VCT floor, restroom tile, kitchen cabinets.",Parks,Closeout,0.97,419684
229,George Ward Park Renovations-REBID,"The objective of this project includes concession stand upgrades, field upgrades, facade improvements, tennis court resurfacing.",Parks,Complete,1,270000
230,Glenn Iris Drainage Improvements,The objective of this project includes drainage improvements in Glen Iris Park,Storm Sewer/Drainage/Bridges,Complete,1,63679
231,Grants Mill Road Corridor Study,"The objective of this project includes the investigation of  the feasibility and cost of relocating and widening Grants Mill Rd. from I-459 to Hwy 119, to provide an improved north/south corridor that could relief traffic on Hwy 280 and I 65.",Street/Sidewalk Improvements,Study (suspended per ALDOT),0.94,
232,Grayson Park Renovations-REBID,"The objective of this project includes the  relocation of existing restroom and installation of new restroom, pavilion, parking area.",Parks,Construction,0,243665
233,Greensprings Bridge repair,The objective of this project is to provide street improvements to correct approach to Greensprings Ave Bridge over RR,Storm Sewer/Drainage/Bridges,Closeout,1,208065
234,Greensprings Hwy Streetscape Phase II,"The objective of this design is to provide streetscape improvements and pedestrian access along the east side of Greensprings Highway from 10th Avenue South to Valley Avenue/24th Avenue. The proposed design will include sidewalks and curb ramps, drainage pipes and inlets, crosswalks and landscaping.",Street/Sidewalk Improvements,Design,0.9,2250000
235,Greensprings Streetscape,"The objective of this project is to  provide street, sidewalk, and landscape improvements along SB lanes of Greensprings Hwy",Street/Sidewalk Improvements,Complete,1,1100000
236,Greensprings Avenue Street repair,The objective of this project is to provide drainage improvement along Greensprings Ave next to George Ward,Street/Sidewalk Improvements,Complete,1,142031.69
237,Hanover Cr. (ALDOT),The objective of this project is to complete rebuild of pavement along Hanover Circle,Street/Sidewalk Improvements,Funding,0,600000
238,Harriman Park Renovations,The objective of this project includes a new playground and basketball equipment. Exterior paint and interior kitchen and bathroom renovations to the Community Center.,Parks,Complete,1,195272.66
239,Hawkins Recreation Center Gymnasium HVAC Replacement,The objective of this project includes the replacement of four ceiling mounted HVAC units with exterior ground mount units.,Parks,Bid & Award,0.75,298914
240,Hawkins Recreation Center Sewer Line Repair,The objective of this project includes the repair of damaged under slab sewer line.  Park and Recreation has been soliciting contractor proposals for this work.,Parks,Bid & Award,0,"Need Funding - $76,966.16"
241,Highland Ave Sidewalks,The objective of this project includes sidewalk improvements at 2001 Highland Ave,Street/Sidewalk Improvements,Complete,1,49975
242,Highland Park Masonry Repairs,The objective of this project includes the reattachment of loose exterior stonework on the Pro Shop Building.,Parks,Bid & Award,0.75,46310
243,Highland Park Pro Shop Roof Repair,The objective of this project includes the repair of roof leak.,Parks,Bid & Award,0.75,"  $3,500.00 "
244,Hooper City Phase V,"The objective of this project is to improve the streets and drainage along 37th Terrace West, 37th Court West and 6th Street West.",Street/Sidewalk Improvements,ROW,0.15,675000
245,Howze Sanford Foundation Repairs-Rebid,The objective of this project includes the repair of foundation settlement and floor repair.,Parks,Complete,1,158766
246,Intermodal Facility Alternate 5 Completion Package,"The objective of this project includes loading dock, finish work in old Amtrak Building.",Public Facilities,Closeout,0.98,415197.88
247,Intermodal Facility Parking Control Package,The objective of this project includes the installation of a gate at the parking lot.,Public Facilities,Closeout,0.97,93225
248,Intermodal Phase 1 Site Prep and Pilings,"The objective of this project includes site prep, pilings and temporary facility.",Public Facilities,Closeout,0.97,3023219
249,Kelly Ingram Park,The objective of this project includes the installation of steel edgining and reset brick and stone pavers.,Parks,Complete,1,87835
250,Lakeshore Cinema Entrance Drive,The objective of this project is to provide entrance improvements and Lakeshore turn lane improvements for the Cinema,Street/Sidewalk Improvements,Construction,0.2,524060.9
251,Lakeshore Drive Pavement Rehab and ADA Project," The objective of this project includes resurfacing improvements, pedestrian accessibility along Lakeshore from the end of the 2016 ATRIP project repaving at Venice RD to TBD.",Street/Sidewalk Improvements,Design,0.6,1000000
252,Lane Park Rd Culvert Replacement,The objective of this design is to replace the failing culvert that runs along the east side of Lane Park Road between North Lane and South Lane. ADA Accessibility will also be improved along the same stretch with new sidewalk and sidewalk ramps. ,Storm Sewer/Drainage/Bridges,Complete,1,300000
